"Name","Kind","File","Line","RefCount","Risk"
"point_in_expanded_box","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2428","2","Medium Risk"
"point_in_norm_zones","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2436","2","Medium Risk"
"recent_vector","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2451","3","Medium Risk"
"unit_vector","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2459","3","Medium Risk"
"projected_speed","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2467","3","Medium Risk"
"local_crowd_count","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2474","1","Medium Risk"
"bbox_edge_flags","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2491","3","Medium Risk"
"touch_left","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2494","0","Critical"
"touch_right","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2495","0","Critical"
"touch_top","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2496","0","Critical"
"touch_bottom","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2497","0","Critical"
"touch_lr","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2498","0","Critical"
"touch_any","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2499","0","Critical"
"touch_left","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2510","0","Critical"
"touch_right","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2511","0","Critical"
"touch_top","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2512","0","Critical"
"touch_bottom","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2513","0","Critical"
"touch_lr","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2514","0","Critical"
"touch_any","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2515","0","Critical"
"fall_ground_signature","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2519","3","Medium Risk"
"point_count","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2532","0","Critical"
"x_span_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2533","0","Critical"
"y_span_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2534","0","Critical"
"lowest_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2535","0","Critical"
"grounded","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2536","0","Critical"
"point_count","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2554","0","Critical"
"x_span_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2555","0","Critical"
"y_span_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2556","0","Critical"
"lowest_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2557","0","Critical"
"grounded","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2558","0","Critical"
"bbox_motion_signature","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2562","2","Medium Risk"
"aspect_trend","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2566","0","Critical"
"area_growth","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2567","0","Critical"
"area_var","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2568","7","Critical"
"aspect_trend","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2582","0","Critical"
"area_growth","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2583","0","Critical"
"area_var","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2584","7","Critical"
"trajectory_motion_signature","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2588","2","Medium Risk"
"disp_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2592","0","Critical"
"path_rel","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2593","0","Critical"
"linearity","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2594","0","Critical"
